IdTribunal,DeTribunal,SgTribunal
29,"Tribunal de Justiça do Acre",TJAC
30,"Tribunal de Justiça de Alagoas",TJAL
31,"Tribunal de Justiça de Amapá",TJAP
32,"Tribunal de Justiça de Amazonas",TJAM
33,"Tribunal de Justiça de Bahia",TJBA
34,"Tribunal de Justiça do Ceará",TJCE
35,"Tribunal de Justiça do Distrito Federal",TJDFT
36,"Tribunal de Justiça do Espírito Santo",TJES
37,"Tribunal de Justiça do Goiás",TJGO
38,"Tribunal de Justiça do Maranhão",TJMA
39,"Tribunal de Justiça do Mato Grosso",TJMT
40,"Tribunal de Justiça do Mato Grosso do Sul",TJMS
41,"Tribunal de Justiça de Minas Gerais",TJMG
42,"Tribunal de Justiça de Pará",TJPA
43,"Tribunal de Justiça da Paraíba ",TJPB
44,"Tribunal de Justiça do Paraná",TJPR
45,"Tribunal de Justiça de Pernambuco",TJPE
46,"Tribunal de Justiça do Piauí",TJPI
47,"Tribunal de Justiça do Rio de Janeiro",TJRJ
48,"Tribunal de Justiça do Rio Grande do Norte",TJRN
49,"Tribunal de Justiça do Rio Grande do Sul",TJRS
50,"Tribunal de Justiça de Rondônia",TJRO
51,"Tribunal de Justiça de Roraima",TJRR
52,"Tribunal de Justiça de Santa Catarina",TJSC
53,"Tribunal de Justiça de São Paulo",TJSP
54,"Tribunal de Justiça de Sergipe",TJSE
55,"Tribunal de Justiça de Tocantins",TJTO
